Gene	array1	array2	array3	array4	array5	array6	array7	array8	array9	array10	array11	array12	array13	array14	array15	array16	array17	array18	array19	array20
18	-0.375754006	0.229085756	-0.012415884	3.216306753	5.379668285	7.847484311	10.51467311	8.673786375	9.511320391	9.452814386	-2.351889323	-0.485028841	-2.750415941	-2.805377323	-5.657157271	-8.70994172	-9.864563548	-10.02534848	-10.66957876	-8.756819696
19	-2.185678387	-4.916724877	-2.544705722	-0.440402297	2.043777889	3.91995578	6.055698093	8.926864222	7.95605404	7.660950791	-4.177496875	-4.289339611	-3.726406456	-4.64720722	-8.499692886	-10.93948701	-11.38974642	-11.99449149	-14.31810599	-14.49883989
20	-1.794668143	-0.534423895	-0.441615499	1.905620939	4.370575351	6.986313071	7.679554681	8.634157591	7.734916763	9.276059761	-1.893360891	-1.70252085	-2.313749673	-3.148260485	-6.924065303	-8.965631961	-11.63967891	-11.17124902	-10.08873922	-11.26913718
21	-1.035014004	7.736002594	9.239271774	8.843236813	4.182797533	2.655986371	0.877545749	0.073114045	-0.808048343	0.529310148	0.461073706	-0.016316683	3.336077663	7.650986045	10.79322357	11.06927075	7.086010229	4.173244711	2.639482849	-0.451468675
22	1.553634942	5.836505885	11.1857278	9.324170816	4.909811674	4.010346444	0.40798153	-0.833570355	0.985174607	-2.236214099	-1.059976544	-1.653372377	3.880942606	8.650761814	10.04955142	9.376277789	7.19439933	6.867017556	3.988819973	0.171958361
23	-2.343531358	2.83856779	7.220610172	7.326410658	4.215580064	1.139114572	-0.645873418	-2.755383121	-5.054223176	-1.127411972	-2.938856167	-4.438671628	-0.606775533	5.445203649	8.279442862	6.755804589	3.75067541	0.975216797	-0.924175302	-2.105888198
24	-0.628331112	4.440840636	8.602311538	7.705798177	1.642532462	0.024895701	-0.767155153	-3.349887893	-0.769921114	-2.486752987	-4.806725458	-3.823727733	1.123588964	7.464882773	7.423919643	6.956057244	3.814365033	2.101289555	1.511504499	-2.554471212
25	2.137697209	7.045575351	13.87557961	12.02163991	9.082439013	5.441324949	3.979927533	2.645540291	0.915061402	3.814574042	0.620977481	3.588175009	5.188513429	10.06559998	12.94791589	13.86791534	10.86770696	7.48481672	4.752452417	3.762563324
26	2.957059075	8.479198688	12.74078113	12.21861719	11.66681979	7.68759689	3.855113236	4.18864038	1.562726902	3.299640008	2.030959569	2.942320912	6.392017078	10.4937897	13.69561345	13.57645632	9.717496421	7.867578212	6.238147138	6.081413044
27	-2.52636482	4.791279516	10.56618183	9.527620668	5.723709292	2.262176388	-0.346569045	-2.145762447	-0.208728249	-1.444442834	-3.15954843	-1.559601431	2.395014099	7.72751731	7.531199035	8.630939439	5.444407986	4.545512879	0.678119379	-2.314031017
28	-3.551109525	0.964460374	5.661680403	5.279263734	2.074084025	-1.401468847	-2.998534821	-3.065692659	-3.419897502	-5.348658034	-4.923247852	-4.174818611	-2.14150942	1.849529436	8.264120836	7.152208064	3.848624562	0.259648856	-2.237074815	-4.493127934
29	2.326331598	7.820405122	10.67324043	11.28560563	6.050849836	4.401849827	2.628971098	1.797034182	-0.198767296	1.87819613	-0.091006861	1.762618894	4.997425915	9.399464828	12.37427959	10.74857642	8.544695961	4.962761585	5.513006349	0.963379367
30	-0.983772117	5.986735943	9.519940943	9.236976144	5.732180237	3.268180315	1.588846627	-1.135898224	-0.189731331	-1.145444671	-3.264417325	-1.272738269	0.594822139	5.965902413	12.29675475	8.93289756	7.655653055	3.543900521	2.389411951	1.42412127
31	8.329340502	8.12708503	1.543267139	-6.408519056	-8.339705887	-2.032464189	7.517644146	9.207787652	3.246435181	-5.883519044	8.264067766	3.437152676	-6.750377048	-11.45691178	-4.396646565	3.173439317	10.363527	6.645108975	-4.777364605	-11.73097032
32	7.836619828	9.878109573	1.904960834	-8.778728695	-10.09940422	-3.727549885	5.539052825	9.046826835	2.955340559	-5.383749999	10.47589634	2.085528313	-4.244197823	-10.61120046	-6.743040667	4.209878085	9.510365078	5.570362599	-4.655115794	-11.1182995
33	17.12654954	16.02581783	9.244106584	-0.162885445	-2.273845091	4.521752173	13.35597164	16.14874131	12.45824594	1.598219011	17.9610315	9.492474898	0.704279225	-1.42862549	2.495933969	12.62304735	15.7579665	12.40654774	4.082078525	-5.305535055
34	12.14346415	13.40108981	5.491421681	-5.282886553	-5.862530178	-0.195359901	9.619952149	14.7990817	6.870470772	-0.137797956	13.6913144	8.919611846	-1.485491945	-7.555176099	-0.673122712	8.513856937	13.81559517	10.74881484	0.329919377	-4.782350004
35	13.20882391	13.92088709	5.779559708	-1.304082509	-3.614537558	2.530748328	13.89320361	15.31495626	10.5752598	-1.083338199	16.3319003	8.822005418	-1.180716173	-5.884815333	1.905902135	9.887136828	14.99437807	11.04955318	1.319287938	-4.65232994
36	14.52109314	16.12418564	8.836531257	-0.339324341	-0.553922259	3.466389013	12.97349276	17.82259868	11.25721028	1.118499252	16.60271795	10.66960856	0.939167371	-4.76360996	2.039076452	11.9679124	17.4123397	13.64988629	4.591912026	-4.002173581
37	3.754082043	4.675295168	-2.587982756	-11.39025939	-14.47397149	-6.778142366	1.585332415	5.697210491	1.192866744	-9.752296734	5.143900697	-1.995844152	-11.40686155	-13.73141462	-9.652662743	1.113348864	6.424003822	0.71463474	-6.893569649	-11.93988093
38	7.86773462	8.50158856	1.739576005	-5.639754693	-10.4151989	-3.287749023	6.120782131	9.586595347	5.186251465	-5.661899799	9.613892255	0.94699199	-7.918544478	-8.959132496	-4.96377092	3.847021532	9.990214283	4.339521803	-5.620185838	-9.963443296
39	7.79238522	10.25823304	-0.141045558	-6.911482606	-10.04478224	-1.403812891	7.76470352	10.05045762	5.867134492	-6.468189678	10.01599564	5.575762371	-4.512373837	-8.686257092	-5.192790735	7.697269002	11.13571707	6.178011907	-1.677013275	-7.704448797
40	-0.2988524	1.350960239	-6.178913199	-16.68663452	-18.15604863	-10.83443764	-2.000795124	1.571256495	-5.249351567	-12.04526335	2.917130711	-2.994004902	-12.82026536	-17.25446366	-13.186355	-3.663719512	0.854243955	-2.112591312	-10.97540858	-17.30965231
41	4.351934309	6.116329238	-4.005238207	-11.4618797	-13.16506119	-7.456129393	2.228932485	7.384754931	0.852579512	-7.452174367	7.24035834	0.174732963	-12.61062078	-13.72883412	-7.8222295	0.867981987	5.565485241	2.578870235	-6.39435957	-14.62636359
42	7.464877887	7.857901233	-0.276465145	-8.131117919	-12.05601886	-3.989353144	7.208004407	8.927171201	1.613623242	-6.393830305	9.18726547	2.653582895	-8.078980134	-12.24143865	-5.711556298	4.385308848	10.0498769	6.617028467	-3.403295568	-8.045548342
43	7.630973186	6.31714622	0.987157874	-9.1176242	-11.82877466	-4.857087911	4.575261751	9.146072452	1.345359077	-6.138096529	7.453062792	2.9576045	-7.453673688	-12.40473653	-7.380621723	2.635340904	8.643178465	4.229371308	-4.802598772	-9.99907286
44	11.64592249	10.81814536	4.692282261	-3.196738633	-5.626423702	1.149958152	11.35178284	14.4832352	8.109022914	-2.425763622	13.23320952	7.046575652	-4.535907469	-6.905300955	-2.465967679	7.746020075	13.77885939	8.596686259	-0.107590374	-5.640946229
45	16.75234478	17.8233691	10.12388682	-0.659511447	-2.528247816	4.867231665	15.31555593	19.06629526	12.09405831	2.385589805	18.20777054	11.68606309	0.951866828	-1.079300513	3.665891973	10.58537425	18.58601435	14.05666992	4.201184939	-1.870200508
46	7.847895512	10.39292122	1.297800516	-7.900250825	-10.07842242	-2.882750021	6.855857957	10.58118251	4.510733538	-5.437023544	9.965964196	3.511208333	-6.60705098	-9.791703991	-5.82429511	5.558303903	9.846643428	5.213243574	-3.104302735	-9.201253479
47	11.14668793	12.26271634	3.807179883	-5.235204732	-8.40889317	-1.998726281	8.557640287	10.00414079	7.036019987	-2.364075669	12.01817146	6.986187471	-3.42744209	-6.417644303	-2.322278195	7.387025934	12.72640884	8.344160827	0.340903076	-7.523461772
48	9.552879281	11.11598354	4.619424884	-5.216330663	-7.157365948	-0.609462667	9.870992629	13.26754718	7.271708297	-2.67235646	13.50295253	8.502754263	-3.773717954	-8.676006518	-3.98917048	7.047002123	12.23362624	9.422121256	-1.879172975	-6.505568296
49	8.387461767	9.308751514	1.215150238	-6.792433968	-8.072894617	-2.063540229	6.199915832	10.21110228	4.465074157	-4.346417235	9.523047868	3.533538218	-6.490376297	-11.6012134	-3.602406091	4.118018432	11.01027782	6.124915903	-4.788541155	-11.14246279
50	6.158086365	8.416353154	-0.110981142	-12.41347908	-12.18821991	-4.446018901	4.766439357	6.105396022	0.750959559	-7.545172818	7.579671249	-0.515681853	-8.814724539	-12.02788251	-7.847844057	3.780261673	8.095874818	3.389006541	-5.38667403	-11.90327162
51	-6.95218275	-3.678101312	-2.282129137	-1.50868924	-1.308670881	0.768314397	1.08672397	3.231121637	2.810877591	3.668744334	-7.630660703	-2.87509211	-0.418899551	-1.315852131	-1.259994735	1.04666078	0.03598093	2.384980508	3.130462855	2.822505429
52	-2.067799279	-0.327605197	0.757154438	2.610060387	2.440596402	4.150303081	5.801877419	6.137612615	5.261417425	6.15552856	-5.500344544	-0.612093143	1.848943448	2.094571723	4.051678736	4.637448549	4.337940869	6.462058402	4.13004187	7.039810144
53	2.289901126	6.551788602	8.29468504	10.88982697	13.44316585	12.68755027	11.81657903	13.25007703	12.50716379	15.83627965	3.018630797	7.46755904	7.679914047	10.51201765	10.51618682	12.90123712	13.59105087	13.53023414	12.54258714	12.8377213
54	10.50762122	13.54994434	15.09392035	14.43235261	15.80577035	16.86167346	17.37636173	19.97466717	19.53445274	19.92295997	8.559819511	12.99808981	15.58983503	14.55422192	17.14259831	18.16531554	17.38461944	19.90932563	18.53657029	21.46814179
55	-7.544371494	-5.404242726	-2.140857821	-1.397799516	-0.172239054	2.041482494	2.032976021	1.644473266	1.848739899	3.220090494	-6.567983424	-2.218802216	-1.14201296	-0.013524369	1.193397598	-1.653490104	3.335387238	2.919495256	2.620258608	2.239202987
56	6.32130369	6.804449585	8.342829221	9.025340014	11.32185442	13.02656654	11.92992808	12.06973184	13.99114232	13.35416409	3.979738856	6.97270161	6.490190813	9.590019528	12.24639471	12.0961822	12.56533132	11.51292836	14.76365715	12.6815697
57	3.743454905	5.136566331	5.519808765	7.98895609	9.527684356	9.433305262	9.562808363	11.31183091	11.37085366	12.06911052	1.743792683	4.863483279	6.596516827	6.020764493	9.092041972	11.45061229	9.629338058	10.57347419	11.38078349	12.92232427
58	-2.049190131	-0.199941148	0.070418756	1.526656468	1.423978127	5.956931406	6.168420076	5.272080026	5.636265515	6.947168777	-4.587594338	-0.087441529	-0.66923731	1.766348107	4.426973477	2.419814183	6.051942769	4.933658826	4.933956059	7.489365158
59	5.074365611	8.748624439	11.13546463	11.99032394	12.7682594	13.33556666	15.29553683	13.44592483	14.98497374	17.00777794	4.889340525	10.33463227	10.07983045	11.9958268	12.44700217	12.51098838	16.5970625	14.3467294	15.00266042	16.38947801
60	3.764243014	7.921920601	9.079628992	10.81609707	12.80274269	13.44682954	12.91752463	14.56982482	15.40315576	16.08406359	4.835069922	7.389138586	8.709887787	8.652647252	14.07137832	13.53793211	11.85770694	14.12394769	14.35764267	14.78888076
61	-1.140779686	1.286646929	1.759782066	2.917000157	4.747893043	5.17500562	5.203160431	7.534422467	6.37146393	8.436577013	-2.220930203	1.232478581	1.040884684	4.012012767	3.959393275	6.172894876	6.920444372	7.200020215	6.212748441	7.029492143
62	-0.074997841	3.577978233	4.179125167	5.262226943	8.170265633	7.725710092	8.21729266	10.61816559	8.525687044	8.939833924	0.845108694	5.302953062	4.144179839	7.009109911	6.314747568	8.246261442	8.476942482	10.62837368	10.26260658	8.836393178
63	1.518308082	5.020312166	5.808706695	7.922024296	9.954044102	9.757458523	11.01027689	9.805258186	11.22648884	10.27650645	0.162217013	4.182116484	4.69799413	5.845724149	8.505341015	8.34615695	9.728376575	10.15162163	14.33706607	12.43205564
64	-3.193429607	1.098596555	0.545351046	0.93806116	2.422823461	3.84470756	3.31239705	4.537688395	5.074882738	5.869458696	-4.599958583	-1.403354604	0.942565915	3.088858634	3.117448599	1.875677369	5.115106302	6.517551397	6.008906043	6.133520961
65	5.01582962	10.2456682	9.842787702	11.29419266	10.87999805	12.89834298	10.42261685	14.51754482	14.18324859	15.55733683	4.363031547	7.198483924	10.28000376	12.81590804	12.49771091	13.96476797	14.58325937	14.36935147	16.36264844	15.01522344
66	-6.374554625	-4.298337155	-1.076979758	1.657937085	-0.00367527	2.230765693	3.408234999	3.563022111	4.603329021	4.753863251	-6.520385098	-2.524390605	0.174183676	0.090403409	1.002476951	1.66709731	3.446274207	2.920631194	3.837874581	6.644971546
67	-6.575609779	-1.872163302	-1.355592001	1.438042001	1.309752941	2.301761611	2.69134429	3.96581881	3.744321294	5.734581028	-6.847551939	-2.464666432	-0.982073611	1.321943536	1.120817294	2.726446964	3.171912392	5.372848772	2.749421921	3.528207225
68	7.104371365	8.738631102	9.487213465	13.44529268	13.99605916	13.53231017	14.74564638	13.895399	17.1825229	16.50309731	5.514481541	7.430198723	11.81854738	13.62703188	12.23847279	13.75651544	12.63538209	15.11852762	14.6830639	14.34535859
69	-4.546655521	-0.896920544	0.879685243	2.749649571	2.180013076	2.281312454	3.354896034	5.295043899	5.185967321	5.793745068	-4.923525775	-0.47521179	-0.026754423	0.79397392	3.075087748	4.620841638	4.945642772	5.14730247	4.416349988	6.872596006
70	-5.880165185	-3.057537981	-1.78760373	-0.620770304	1.074162888	1.834844269	0.240718288	1.826666711	4.066311652	4.66808375	-7.98632193	-1.643022486	-1.799726917	0.682685484	0.698636354	2.3048761	2.688610435	2.687763155	3.999149039	4.631429496
71	-3.888071975	-1.742823863	-0.8847646	2.51945156	4.761527801	3.559641351	4.70557806	4.147388156	7.178724093	6.233047125	-4.935518331	0.208324343	1.5491338	2.926633621	4.896358744	4.724502583	5.178611045	5.042528348	5.64454273	6.674338493
72	13.19595987	16.04360965	19.69069715	19.67497864	21.10407428	21.62069197	21.45573649	23.25553298	24.34985471	23.74123992	14.13395901	15.25353292	18.5579596	20.15875236	20.05455736	19.8845702	22.09390833	21.97374744	20.70100675	24.07757153
73	2.14248208	3.420503679	5.745937675	7.054391324	6.346860327	8.685675757	9.199682388	9.64075841	7.911229134	11.39615017	1.138504631	3.796526245	3.99026245	8.791874245	6.468910442	9.399855064	8.554758706	11.63674158	9.120320392	11.23204688
74	6.836713774	11.15535571	10.78177949	13.24176231	13.33962967	14.5925544	17.02366937	14.16724231	15.67462845	15.80235563	6.816924943	9.176901093	12.1714495	12.86416795	14.55714309	14.65300638	14.71762476	15.84457635	16.27967195	16.95095174
75	5.418538592	9.088316882	9.881047351	12.69637236	11.10424812	12.76893346	13.38456613	14.06666154	16.04127422	16.91248396	4.36417877	7.495883376	9.737449153	10.50492315	12.27557608	12.28950595	12.86819868	14.73984959	16.15482539	15.41728335
76	-7.040272133	-3.164069707	-3.189840194	-0.229070331	-0.726518153	0.047213048	-1.857982078	1.977777309	2.471398358	3.493866026	-5.818402528	-3.364141893	-3.541903622	-2.421181717	-1.491716934	-0.524527187	0.436080128	0.747993112	1.804709098	3.378621587
77	0.901073458	3.759464209	6.927555763	7.155870789	9.497637278	9.261323054	9.275981729	11.52666194	11.36956335	12.23761322	3.158844093	4.997914205	6.285881671	8.102617145	10.91711653	8.961540745	9.555861091	10.75999797	11.52332737	11.85962543
78	-2.659533407	3.0064399	1.570417683	4.41787378	5.883485413	5.058840049	6.0224152	8.385504317	7.157307234	7.988773944	-2.203932521	0.751817618	4.014041519	4.309588888	1.893718153	5.82138102	6.628468371	6.783221864	7.063007036	8.927948771
79	3.174566481	5.83769988	7.977196352	7.559748267	9.705529986	11.02037498	12.39802093	11.87094708	13.45207994	12.70525613	4.15140165	6.456723726	7.593068461	8.54991406	9.368944329	11.89126227	12.7858819	12.61115134	13.27269817	13.47038461
80	4.619359534	7.499934483	8.188285223	11.52314162	13.49163499	13.58589657	13.66748145	13.84645874	14.73758196	14.24929151	4.895322792	6.849695129	7.530207619	8.550205469	12.17980523	13.65091595	13.86840416	15.29662947	14.65965954	15.52120799
81	-1.891054249	1.348363983	4.007549988	5.155811095	5.783023058	6.657101054	8.041943948	8.505409462	8.79641956	10.7568665	-0.49829725	2.978555839	4.083779377	5.661400206	6.060439318	6.821475155	7.156984655	9.364714895	6.737812239	10.33736977
82	7.376595112	9.481480622	11.97285199	13.84640629	14.27277579	15.57849832	14.69791811	17.96074232	16.9045218	16.24461336	6.418973468	9.78404838	11.81518945	12.14076013	14.17340043	14.41363353	17.12366892	17.44304707	18.16959808	17.33686444
83	4.876654283	7.125026612	6.823611359	9.710580001	9.467820128	11.80114815	11.43509821	10.69550162	12.26926328	12.53627036	3.59784975	4.542091618	6.408302661	9.236801189	9.29355146	11.70027039	12.67924448	10.6446865	13.52385713	12.23246055
84	6.186894324	9.951982231	11.13633227	11.79784096	12.43264296	13.36831547	15.96528835	14.79889288	15.46224169	15.22195646	4.672221874	9.172011984	11.72281359	11.53549947	14.41792751	13.48992397	14.36696018	14.92230137	16.29268232	16.06305819
85	-1.560189839	0.931352963	3.605680112	4.27139847	4.555867682	5.689634208	7.535588728	6.617086594	7.927337057	8.504325578	-1.857877987	2.100970899	1.996645935	3.830858186	5.468977652	4.483000186	5.126878263	9.428194573	8.169842794	7.915688407
86	-6.088329013	-2.738075734	-1.996118292	-0.705887726	0.136883677	4.024715223	3.346634923	3.278067329	4.461985828	2.681305444	-8.532369041	-3.250899053	-2.17728625	1.216410661	0.348553447	1.866588948	2.283261451	2.073023865	2.463189621	4.277508854
87	-3.851658792	2.338171878	-0.065975749	2.903079028	3.904613376	5.366907407	6.291019073	6.371347769	8.435282555	6.411552086	-5.389688835	-1.115252584	2.458181239	1.83452327	4.176337498	5.180023841	6.290791036	6.182260279	7.185235728	7.381598804
88	3.787391589	6.900047202	7.447551534	9.51842756	10.05095288	11.19561632	11.31919133	12.66661173	11.7212831	13.62402421	2.73649501	3.699396115	8.523286492	8.076517822	9.912512076	10.62421404	11.07121541	12.00165246	12.58743623	11.22912302
89	1.624961553	6.633003578	6.696312156	10.13289373	10.36057521	10.76575936	11.66096081	12.35433678	12.9166949	10.89695051	3.222110835	4.054745155	8.939673585	9.264724325	8.90391214	11.47197326	10.70442211	12.53151157	13.02293706	13.14153167
90	6.466932922	10.77233699	11.4081081	13.34242	14.52434785	15.13180617	15.68189444	16.17680286	16.57539813	17.36651904	8.176726953	11.45348104	13.82070156	13.33457581	13.77028717	13.16248666	14.04662835	17.13435192	15.8461918	17.91616735
91	5.666223077	8.317572415	8.199924474	12.66745955	13.96991582	12.88851775	13.56429879	14.91445606	14.60877912	15.4772556	4.982828672	8.432362871	10.07130448	11.15470624	13.81086591	14.5006131	14.41706331	16.37768618	15.34924502	16.54775588
92	-3.66989075	-1.150444027	0.075635912	1.190102885	2.304810012	2.367104183	4.175762853	4.868470082	5.625007687	5.41786771	-4.563708727	-1.380148654	-0.211547066	1.293748364	3.105273343	3.583766062	3.486086469	4.995208144	4.447053091	5.219175218
93	-4.32742628	-0.587652051	3.147741127	1.418186734	2.116502615	5.273599216	5.092010943	5.260037651	5.612332268	5.829557172	-3.488823543	0.626176554	0.087510116	1.773172197	3.262500948	4.510749848	5.893054179	5.149691805	5.605510976	5.689064629
94	10.13033986	11.06133535	13.9992089	14.47908764	14.58598609	17.50601323	16.51148636	19.0418648	18.25283575	17.19416303	8.051782208	12.9138079	15.33776852	12.30637381	16.11139659	15.06439694	16.08941356	16.49491948	17.38892203	19.79054329
95	-0.169856119	1.48274359	4.569381546	5.262966625	5.038891636	7.963203771	7.47435422	8.150655438	8.425138455	7.294441549	-0.055916933	1.661252595	3.19895122	3.949841625	5.112204672	6.555614994	7.965117032	8.124900534	7.839704522	8.422832984
96	-3.105697079	0.570516635	1.805115011	2.952851653	3.378117869	4.230492706	5.989151863	6.346514341	5.654216374	6.623803248	-3.099479464	-0.37883698	2.551809209	3.62543282	4.351455834	3.792315327	6.351876379	6.612815192	7.050654949	8.744738648
97	1.649653085	3.520762429	6.355921387	6.381149513	7.518994986	9.873457454	9.161712641	8.858887934	11.67935938	10.90236073	1.702946023	2.798505463	4.832967019	6.291167838	8.864262548	9.577318175	7.545857384	9.606571982	9.499497136	11.34622549
98	-8.117844267	-3.893302518	-2.11124617	0.125239019	1.282123457	1.313848789	1.815407662	2.261160002	3.930649126	3.135517301	-7.177817118	-4.141696775	-2.263242957	0.148876852	0.451218	1.702481557	2.758213553	2.489821993	2.003287958	4.756575121
99	6.804925718	7.512106284	9.543567663	13.32515124	11.70664271	10.48823906	12.82210081	13.20754082	12.71324395	15.91550153	4.245502857	7.83991588	9.941952558	11.93107267	10.59297043	11.63779323	14.24476502	15.81870886	14.30531793	15.85193915
100	8.687926413	12.10809489	13.72227067	13.14958917	16.52953258	15.60511214	16.5422589	17.65961154	16.09702653	19.63691992	9.884343036	9.47160346	13.91752646	12.99779152	15.44072561	16.54250294	15.83895043	15.91433167	18.04235107	18.94967871
101	-0.529429745	-0.627114939	-0.0054647	-2.423010859	-0.65798268	-0.909617135	-1.253949665	-1.392887345	-1.016730059	-2.202451571	-0.947486859	-0.85524966	-0.084941564	1.054793559	5.158373261	7.014285354	8.843241665	9.313773596	9.128091396	7.700535396
102	-0.858922204	-1.575736901	-0.010859645	-0.008419499	1.542004418	-0.587046333	-0.125649847	-0.550859586	-2.121208795	0.898433231	1.13889126	-2.33131599	-1.181891433	0.809613036	4.41400236	6.207143941	8.595575412	8.7621442	8.637629577	11.16973104
103	1.191468495	0.539879913	-0.28060757	1.37770557	-1.127483265	2.309955724	-1.152816356	-1.345109511	1.347617166	-0.574187139	-0.35556584	0.40966702	1.568623031	1.149839561	4.959565475	8.454122317	10.47254653	12.31182969	11.11506283	11.26190753
104	0.995520688	2.470852964	2.480645047	-0.900142516	2.567875716	-0.059742733	-0.486567909	0.120633354	1.823566534	3.305055393	1.302551849	2.627582283	3.853268364	4.483078604	5.998926441	9.332811379	9.901202964	10.47735138	9.632100522	12.43939524
105	1.950882992	-1.202466382	-0.446260469	-0.560978795	-1.562507132	-0.947206827	1.795681528	1.013359318	1.003191788	1.699136164	1.134958486	0.957340043	3.63721725	2.21439854	5.297356745	8.152360971	10.7843052	9.565626116	10.19324383	9.230911996
106	-0.195878993	0.895956355	0.974850627	1.692491482	1.00206189	0.480591749	2.660477041	1.269915232	2.080412617	-0.18131138	1.619430397	-0.931942823	1.421699407	3.382947745	5.364981567	8.839585316	10.08721353	9.829956787	9.816444392	10.99356438
107	1.57751098	0.621731488	0.915236916	2.134045242	-0.367660252	1.343802307	0.360862228	1.664806621	-0.207479459	1.169882917	0.729480001	1.375378716	1.932517469	2.784622526	8.159707079	10.05807192	10.69035217	9.079450847	10.16438912	10.37772287
108	-0.769701437	-2.423841394	-2.560563738	-2.244128064	-1.586695576	-2.315074338	-2.359733955	-1.092655759	-3.084768875	-0.653759667	-3.05724937	-0.310013016	-0.715507343	0.005716523	1.864023976	5.596264397	7.44645875	7.547057464	8.118025085	9.081043247
